Id,added_words,WordCount,Lat,Long,group
72.70.37.196,0,0,0,0,taylor_swift
181.163.215.230,0,0,0,0,taylor_swift
JJMC89,0,0,0,0,taylor_swift
Xdtp,1,0,0,0,taylor_swift
Meno25,0,0,0,0,taylor_swift
F705i,1,0,0,0,taylor_swift
2601:18D:4700:949F:DC53:4FFE:5450:A7D9,0,0,0,0,taylor_swift
Legobot,2,0,0,0,taylor_swift
66.229.136.167,0,0,0,0,taylor_swift
216.56.81.226,0,0,0,0,taylor_swift
Ontogon,172,0,0,0,taylor_swift
Innotata,0,0,0,0,taylor_swift
Lolza81,2,0,0,0,taylor_swift
DinaHerbert,1,0,0,0,taylor_swift
152.26.194.40,0,0,0,0,taylor_swift
191.82.52.94,0,0,0,0,taylor_swift
Hddty,0,0,0,0,taylor_swift
Solidest,0,0,0,0,taylor_swift
AGbot,0,0,0,0,taylor_swift
Kethyga,2,0,0,0,taylor_swift
A1AA1A,0,0,0,0,taylor_swift
Hatto,0,0,0,0,taylor_swift
62.171.198.5,0,0,0,0,taylor_swift
SourcererBot,0,0,0,0,taylor_swift
INS Pirat,3,0,0,0,both
TheSandDoctor,0,0,0,0,taylor_swift
2A01:6500:A040:369B:17CD:67F5:56D:1A00,0,0,0,0,taylor_swift
Rschen7754,0,0,0,0,taylor_swift
Pigsonthewing-bot,1,0,0,0,taylor_swift
Pacostein,1,0,0,0,taylor_swift
Ameisenigel,1,0,0,0,taylor_swift
Saeedswift,0,0,0,0,taylor_swift
Taytaycat,0,0,0,0,taylor_swift
Kirilloparma,1,0,0,0,taylor_swift
Nvrandow,1,0,0,0,taylor_swift
Adrianmartinezuwu,1,0,0,0,taylor_swift
Brunnaiz,0,0,0,0,taylor_swift
2601:18D:4700:949F:C87C:F1F0:4A9:45DE,0,0,0,0,taylor_swift
Paulohmessias,0,0,0,0,taylor_swift
UnderlyingBot,1,0,0,0,taylor_swift
Damian Vo,2,0,0,0,taylor_swift
Chetankale1978,1,0,0,0,taylor_swift
ItsMario97,0,0,0,0,taylor_swift
Stryn,0,0,0,0,taylor_swift
GilPe,0,0,0,0,taylor_swift
William Avery Bot,0,0,0,0,taylor_swift
User123o987name,0,0,0,0,taylor_swift
Josh404Bot,1,0,0,0,both
Horcrux,1,0,0,0,taylor_swift
Karthikndr,2,0,0,0,taylor_swift
