rev_id,timestamp,user,comment
2314092000,2025-02-20T02:55:24Z,Jon Kolbert,/* wbeditentity-update:0| */ Updating official website URL from HTTP to HTTPS
2310783923,2025-02-13T06:08:35Z,Sadrettin,"/* wbsetclaim-create:2||1 */ [[Property:P11729]]: 320927, edit ([[:toollabs:editgroups/b/OR/e46463b8171|details]])"
2297131802,2025-01-11T20:45:24Z,Sobaka,/* wbsetlabel-add:1|af */ Neuschwanstein-kasteel
2297131695,2025-01-11T20:45:06Z,Sobaka,"/* wbsetdescription-add:1|af */ kasteel in Beiere, Duitsland, Europa"
2293295709,2024-12-31T09:32:13Z,37.161.113.81,/* undo:0||2290384573|2003:EC:5F0F:BC00:8562:C6D5:7793:C74B */
2290384573,2024-12-22T10:40:21Z,2003:EC:5F0F:BC00:8562:C6D5:7793:C74B,/* wbsetclaim-update:2||1 */ [[Property:P18]]: Schloss Neuschwanstein 2013.jpg
2272174150,2024-11-09T06:04:46Z,Podkolyosin,/* wbsetdescription-add:1|ko */ 독일 바이에른주 호엔슈방가우에 위치한 성
2263080018,2024-10-20T22:02:56Z,Lorde McCoy,/* wbsetaliases-add:1|pt */ Neuschwanstein
2263080005,2024-10-20T22:02:55Z,Lorde McCoy,/* wbsetaliases-add:1|pt-br */ Neuschwanstein
2263079994,2024-10-20T22:02:54Z,Lorde McCoy,"/* wbsetdescription-add:1|pt */ palácio na Baviera, Alemanha"
2263079978,2024-10-20T22:02:52Z,Lorde McCoy,"/* wbsetdescription-add:1|pt-br */ palácio na Baviera, Alemanha"
2262410680,2024-10-19T12:41:35Z,Vicarage,"/* wbsetlabel-remove:1|en-gb */ Neuschwanstein Castle, #quickstatements; #temporary_batch_1729341689244"
2258675880,2024-10-10T09:49:06Z,MidleadingBot,"/* wbremovereferences-remove:2||1 */ [[Property:P131]]: [[Q256547]], bot ([[:toolforge:editgroups/b/CB/12d8c3f601984b308ffab832cbf2dae4|details]])"
2256158959,2024-10-04T11:54:40Z,MidleadingBot,"/* wbremovereferences-remove:2||1 */ [[Property:P131]]: [[Q256547]], bot ([[:toolforge:editgroups/b/CB/97738ff8f45c40109bf79129cf565ce6|details]])"
2248903825,2024-09-16T14:17:38Z,151.43.34.74,/* wbsetclaim-update:2||1 */ [[Property:P18]]: Schloss Neuschwanstein (45 mm).jpg
2248903558,2024-09-16T14:16:44Z,151.43.34.74,/* restore:0||2246906608|87.177.148.95 */
