rev_id,timestamp,user,comment
2091505725,2024-03-02T01:15:55Z,Filipović Zoran,/* wbsetlabel-add:1|sr-ec */ Кеопсова пирамида
2080465542,2024-02-18T09:05:14Z,Frettie,/* wbsetaliases-remove:1|en */ Velká pyramida
2080465539,2024-02-18T09:05:14Z,Frettie,/* wbsetaliases-remove:1|de */ Velká pyramida
2079949247,2024-02-17T18:46:35Z,Frettie,/* wbmergeitems-from:0||Q124605719 */
2079075573,2024-02-16T18:43:09Z,Jahl de Vautban,"/* wbeditentity-update-languages-short:0||de, en */ LabelLister V3 (beta) -  : alias(de[-1], en[-3])"
2079016135,2024-02-16T17:16:45Z,Frettie,/* wbmergeitems-from:0||Q124565764 */
2061272367,2024-01-24T21:32:28Z,Arch2bot,"/* wbsetreference-add:2| */ [[Property:P454]]: 20000997, Add archINFORM reference"
2060371112,2024-01-23T13:45:09Z,Mirishkorlik,/* wbsetsitelink-add:1|uzwiki */ Xeops piramidasi
2054734347,2024-01-15T23:42:49Z,Thor19,/* wbsetdescription-set:1|fr */ plus ancienne et plus grande des trois pyramides de la nécropole de Gizeh
2049868618,2024-01-09T17:13:24Z,Zafer,"/* wbcreateclaim-create:1| */ [[Property:P11729]]: 155929, #quickstatements; #temporary_batch_1704820055676"
2040081714,2023-12-29T19:28:27Z,Quesotiotyo,"/* wbcreateclaim-create:1| */ [[Property:P12086]]: Piramide_van_Cheops, [[:toollabs:quickstatements/#/batch/220142|batch #220142]]"
2030034273,2023-12-15T04:04:55Z,Charp238,/* wbsetclaim-create:2||1 */ [[Property:P6058]]: animations/La_Grande_Pyramide_Kheops/1100521
2030034182,2023-12-15T04:04:49Z,Charp238,/* wbsetclaim-create:2||1 */ [[Property:P6058]]: images/Gizeh_la_pyramide_de_Kheops/1010107
1998798934,2023-10-27T21:15:23Z,Xchia,/* wbeditentity-update-languages-short:0||id */
1988672851,2023-10-08T14:58:35Z,Horcrux,"/* wbsetqualifier-add:1| */ [[Property:P1810]]: Great Pyramid of Giza, [[:toollabs:quickstatements/#/batch/214161|batch #214161]]"
1977772200,2023-09-19T17:50:34Z,HazemGM,/* wbsetdescription-set:1|ar */ أكبر هرم في مقبرة الجيزة بمصر
1976273819,2023-09-17T16:03:36Z,Umarxon III,/* clientsitelink-remove:1||uzwiki */ Xeopsa Piramidasi
1966099011,2023-09-01T16:51:48Z,Croxyz,"/* wbsetdescription-add:1|hr */ piramida u Gizi, ([[w:en:Wikipedia:Shortdesc helper|Shortdesc helper]])"
1965977556,2023-09-01T11:19:36Z,Pere prlpz,/* wbsetaliases-add:1|ca */ piràmide de Kheops
1965977547,2023-09-01T11:19:35Z,Pere prlpz,/* wbsetlabel-set:1|ca */ piràmide de Quèops
1964542270,2023-08-30T10:18:25Z,Motxo98,/* clientsitelink-update:0|cawiki|cawiki:Piràmide de Kheops|cawiki:Piràmide de Quèops */
1951064211,2023-08-10T09:50:20Z,Salgo60,"/* wbsetclaim-create:2||1 */ [[Property:P10689]]: 4420397, OSM way ([[:toollabs:editgroups/b/OR/52a0c98e7ab|details]])"
1949480914,2023-08-08T10:56:18Z,Arch2bot,"/* wbsetreference-add:2| */ [[Property:P31]]: [[Q381885]], Add archINFORM reference"
1949480911,2023-08-08T10:56:17Z,Arch2bot,"/* wbcreateclaim-create:1| */ [[Property:P31]]: [[Q381885]], Lookup from archINFORM"
1949480907,2023-08-08T10:56:16Z,Arch2bot,"/* wbremoveclaims-remove:1| */ [[Property:P31]]: [[Q811979]], Replacement by more detailed specification"
1933425728,2023-07-12T10:18:07Z,Yotwen,/* wbsetclaim-create:2||1 */ [[Property:P31]]: [[Q811979]]
1919888818,2023-06-20T13:20:08Z,Infovarius,"/* wbcreateclaim-create:1| */ [[Property:P31]]: [[Q175582]], [[:toollabs:quickstatements/#/batch/207908|batch #207908]]"
1911945581,2023-06-10T05:32:44Z,Adimora chidinma,"/* wblinktitles-connect:2| */ enwiki:Great Pyramid of Giza, igwiki:Nnukwu pyramid nke Giza"
1910904610,2023-06-08T11:29:59Z,Adimora chidinma,"/* wbsetaliases-add:2|en */ Pyramid nke Cheops, Pyramid nke Khufu"
1910904601,2023-06-08T11:29:58Z,Adimora chidinma,/* wbsetdescription-add:1|ig */ kasị ochie na nke kasị ukwuu n'ime pyramid atọ dị na Giza Necropolis;  otu n’ime ihe ebube asaa ochie nke ụwa
1910904586,2023-06-08T11:29:57Z,Adimora chidinma,/* wbsetlabel-add:1|ig */ Nnukwu pyramid nke Giza
1901613629,2023-05-23T19:35:43Z,C960657,/* wbsetclaim-create:2||1 */ [[Property:P8313]]: Cheopspyramiden
1891916038,2023-05-08T06:10:03Z,MatSuBot,/* wbeditentity-update-languages-short:0||te */ add missing labels
1883522360,2023-04-27T14:28:53Z,YVSREDDY,/* wbsetsitelink-add:1|tewiki */ గ్రేట్ పిరమిడ్ ఆఫ్ గిజా
