Source,Target,interaction_type,predicate,revision_id
Thatguy1987,Nvrandow,edit,P19,760947474
Nvrandow,KrBot,edit,P19,1566553760
KrBot,12u,edit,P19,2015141283
12u,ايمو کي ڀڄايو,edit,P19,2142020511
ايمو کي ڀڄايو,Deinocheirus,edit,P19,2150511776
Deinocheirus,JnpoJuwan,edit,P19,2300457594
JnpoJuwan,Miikul,edit,P19,2301585217
Miikul,Legonin,edit,P19,2315795315
Legonin,Kolja21,edit,P19,2319123260
VIAFbot,SamoaBot,edit,P244,41945140
SamoaBot,63.141.204.129,edit,P244,282084705
63.141.204.129,Arpyia,edit,P244,282085446
Arpyia,LccnBot,edit,P244,2106885419
KLBot2,MarrickLip,edit,P18,59237236
MarrickLip,Akkakk,edit,P18,62040874
Akkakk,190.148.78.44,delete,P18,219575626
Jura1,187.214.65.233,edit,P18,225547141
187.214.65.233,Nikki,edit,P18,225547168
Nikki,187.214.65.233,edit,P18,225547181
187.214.65.233,Nikki,edit,P18,225547230
Nikki,Vlsergey-at-work,edit,P18,292168070
Vlsergey-at-work,Triggerhippie4,edit,P18,314270037
Triggerhippie4,Jura1,edit,P18,314302436
Jura1,Triggerhippie4,edit,P18,314306404
Triggerhippie4,Engelbert,edit,P18,320364707
Engelbert,Anjo-sozinho,edit,P18,404579367
Anjo-sozinho,Sjoerddebruin,edit,P18,405641573
Sjoerddebruin,חיים 7,edit,P18,406308669
חיים 7,Sjoerddebruin,edit,P18,407195388
Sjoerddebruin,Anjo-sozinho,edit,P18,432903342
Anjo-sozinho,Kjetil r,edit,P18,433546957
Kjetil r,Entbert,edit,P18,433554983
Entbert,Thibaut120094,edit,P18,434077298
Thibaut120094,JAn Dudík,edit,P18,435201956
JAn Dudík,Smaug the Golden,edit,P18,436047094
Smaug the Golden,Wylve,edit,P18,438569072
Wylve,Rodejong,edit,P18,446404417
Rodejong,Revent,delete,P18,493898538
Jean-Jacques Georges,Kovox90,edit,P18,543996520
Kovox90,Emir of Wikipedia,edit,P18,584132047
Emir of Wikipedia,Andrei Stroe,edit,P18,584512210
Andrei Stroe,Jean-Jacques Georges,edit,P18,587441034
Jean-Jacques Georges,CommonsDelinker,delete,P18,657971113
CommonsDelinker,Zenfiric,edit,P18,657974910
Zenfiric,Olivier LPB,edit,P18,686666310
Olivier LPB,Trade,edit,P18,770427362
Trade,Lieutcoluseng,edit,P18,1000393471
Lieutcoluseng,Nikki080,edit,P18,1034719119
Nikki080,Lieutcoluseng,edit,P18,1038855356
Lieutcoluseng,Roman Kubanskiy,edit,P18,1315828001
Roman Kubanskiy,AlexTref871,edit,P18,1323252914
AlexTref871,Roman Kubanskiy,edit,P18,1324761687
Roman Kubanskiy,Hsarrazin,edit,P18,1325378179
Hsarrazin,12u,edit,P18,1526129995
12u,KatiMedi,edit,P18,1670128423
KatiMedi,Premeditated,edit,P18,1670143211
Premeditated,Matlin,edit,P18,1726510618
Matlin,Abraham,edit,P18,1984787422
Abraham,Paucabot,edit,P18,2163451628
Paucabot,Ɋnym,edit,P18,2176386421
Ɋnym,Ooligan,edit,P18,2223925799
Ooligan,Gabldotink,edit,P18,2224664577
Gabldotink,Mohammed Qays,edit,P18,2239504298
Mohammed Qays,Captain Ben Richards,edit,P18,2276142680
Captain Ben Richards,Kub347,edit,P18,2298762195
Kub347,Γρηγόρης9,edit,P18,2299329328
Γρηγόρης9,GodNey,edit,P18,2299361077
GodNey,TDKR Chicago 101,edit,P18,2299534544
TDKR Chicago 101,Gadir,edit,P18,2300345198
Gadir,Γρηγόρης9,edit,P18,2300359110
Γρηγόρης9,MR-Amstrong,edit,P18,2300451985
MR-Amstrong,JnpoJuwan,edit,P18,2300457041
JnpoJuwan,Γρηγόρης9,edit,P18,2300650185
Γρηγόρης9,ToxicPea,edit,P18,2315106753
ToxicPea,Γρηγόρης9,edit,P18,2318239242
Γρηγόρης9,Valepert,edit,P18,2318886006
Valepert,235 inikos,edit,P18,2319003864
235 inikos,Kolja21,edit,P18,2319123051
Kolja21,Steinninn,edit,P18,2332653728
Steinninn,Mobby 12,edit,P18,2332754386
Mobby 12,Chell Hill,edit,P18,2333825459
Chell Hill,Captain Ben Richards,edit,P18,2334842540
Captain Ben Richards,Deva1995,edit,P18,2341949702
Deva1995,JnpoJuwan,edit,P18,2344063337
KLBot2,MarrickLip,edit,P109,59237408
MarrickLip,Akkakk,edit,P109,62040895
Akkakk,187.214.65.233,delete,P109,225546986
Nikki,ZUFAr,edit,P109,404670657
ZUFAr,Triggerhippie4,edit,P109,434382538
Triggerhippie4,ToniSant,edit,P109,1351940667
ToniSant,Ooligan,edit,P109,1950136140
Ooligan,JnpoJuwan,edit,P109,2300457300
VIAFbot,Triggerhippie4,edit,P268,314274415
Danrok,187.214.65.233,edit,P551,225545437
187.214.65.233,Nikki,edit,P551,225545673
Nikki,63.141.204.129,edit,P551,282084786
63.141.204.129,Arpyia,edit,P551,282085446
Arpyia,El Ayudante,edit,P551,301543316
El Ayudante,Kimdime,delete,P551,310349315
Triggerhippie4,Mushroom,edit,P551,407982897
Mushroom,Wylve,edit,P551,433575622
Wylve,Arbnos,edit,P551,438013043
Arbnos,Amadalvarez,edit,P551,530488042
Amadalvarez,Runner1928,edit,P551,587995635
Runner1928,Aprenn,edit,P551,1344884463
Aprenn,Shalstvedt,edit,P551,1350323647
Shalstvedt,Infovarius,edit,P551,1359288576
Infovarius,DutchOff,edit,P551,1738061048
DutchOff,Effeietsanders,edit,P551,1960698114
Effeietsanders,أبو علاء العلوي,edit,P551,2300309898
أبو علاء العلوي,JnpoJuwan,edit,P551,2344064528
MarrickLip,187.173.138.158,edit,P103,244404111
187.173.138.158,FallingGravity,edit,P103,244428215
FallingGravity,63.141.204.129,edit,P103,282084857
63.141.204.129,Arpyia,edit,P103,282085446
Arpyia,Random8907,edit,P103,293260355
Random8907,Koavf,edit,P103,434711378
Koavf,Lieutcoluseng,edit,P103,750646489
Lieutcoluseng,ElmarG,edit,P103,756647999
ElmarG,Lieutcoluseng,edit,P103,885433557
MarrickLip,SamoaBot,edit,P569,69924295
SamoaBot,65.213.200.130,edit,P569,72706061
65.213.200.130,Magnus Manske,edit,P569,80205001
Magnus Manske,SourcererBot,edit,P569,258290832
SourcererBot,63.141.204.129,edit,P569,282085306
63.141.204.129,Arpyia,edit,P569,282085446
Arpyia,Alan ffm,edit,P569,404440023
Alan ffm,Wylve,edit,P569,421957193
Wylve,83.58.143.235,edit,P569,483743090
83.58.143.235,Jared Preston,edit,P569,483743526
Jared Preston,Reinheitsgebot,edit,P569,580155452
Reinheitsgebot,Dexbot,edit,P569,1451825286
Dexbot,Edward,edit,P569,1543056582
Edward,Jordi escarre,edit,P569,1661504739
Jordi escarre,ツィプカ・ウエルド,edit,P569,2206853564
ツィプカ・ウエルド,Cranloa12n,edit,P569,2223014826
Cranloa12n,Jock64,edit,P569,2271044119
MarrickLip,Legobot,edit,P106,74236860
Legobot,GerardM,edit,P106,135776778
GerardM,Dexbot,edit,P106,136054273
Dexbot,Rezabot,edit,P106,169478080
Rezabot,Jura1,edit,P106,222912252
Jura1,189.133.212.97,edit,P106,224139607
189.133.212.97,Rippitippi,edit,P106,224141309
Rippitippi,187.214.65.233,edit,P106,225545615
187.214.65.233,Nikki,edit,P106,225545673
Nikki,187.214.65.233,edit,P106,225547976
187.214.65.233,Nikki,edit,P106,225548504
Nikki,Danrok,edit,P106,239621962
Danrok,189.245.90.77,edit,P106,247224372
189.245.90.77,Kacir,edit,P106,247255064
Kacir,67.209.226.9,edit,P106,254333718
67.209.226.9,FallingGravity,edit,P106,254404137
FallingGravity,Coyau,edit,P106,275675508
Coyau,63.141.204.129,edit,P106,282084883
63.141.204.129,Arpyia,edit,P106,282085446
Arpyia,Triggerhippie4,edit,P106,314533454
Triggerhippie4,Addshore,edit,P106,404463602
Addshore,Triggerhippie4,edit,P106,405018470
Triggerhippie4,Rezabot,edit,P106,406240967
Rezabot,Entbert,edit,P106,433558225
Entbert,Thibaut120094,edit,P106,434077690
Thibaut120094,Triggerhippie4,edit,P106,434371719
Triggerhippie4,Arbnos,edit,P106,436346264
Arbnos,Nikkimaria,edit,P106,476069116
Nikkimaria,QuickStatementsBot,edit,P106,499789417
QuickStatementsBot,Prcondo,edit,P106,514727917
Prcondo,Manu1400,edit,P106,585426360
Manu1400,Zaccarias,edit,P106,609637132
Zaccarias,Mike Peel,edit,P106,620251907
