rev_id,user,timestamp
1136071,BeneBot*,2012-12-08T14:56:36Z
12726787,Marcvs42,2013-03-16T14:02:57Z
12726924,Marcvs42,2013-03-16T14:03:38Z
31641764,93.78.125.185,2013-04-27T11:09:02Z
31643709,Stryn,2013-04-27T11:14:13Z
32221039,2.109.233.118,2013-04-28T15:26:04Z
32221334,Iste Praetor,2013-04-28T15:26:53Z
36510571,BetaBot,2013-05-06T15:06:53Z
40616524,180.254.103.16,2013-05-12T16:05:52Z
40656122,98.200.44.103,2013-05-12T17:00:28Z
40656184,98.200.44.103,2013-05-12T17:00:33Z
40656495,98.200.44.103,2013-05-12T17:00:58Z
40706046,HigherFive,2013-05-12T18:13:17Z
41203594,180.249.63.23,2013-05-13T08:08:57Z
41256814,Stryn,2013-05-13T09:45:16Z
41796151,KLBot2,2013-05-14T04:07:49Z
41796159,KLBot2,2013-05-14T04:07:50Z
41913199,203.146.92.162,2013-05-14T08:24:23Z
41913358,203.146.92.162,2013-05-14T08:24:39Z
41913405,203.146.92.162,2013-05-14T08:24:45Z
42607484,Nullzerobot,2013-05-15T15:50:52Z
42668025,212.187.17.80,2013-05-15T20:26:05Z
42690271,Chrumps,2013-05-15T21:45:43Z
44696733,189.55.242.93,2013-05-20T23:22:36Z
44729553,Andreasmperu,2013-05-21T03:02:33Z
44930274,Iniquity,2013-05-22T10:06:33Z
45272007,BetaBot,2013-05-23T06:08:57Z
49527691,Aurora,2013-06-04T15:03:17Z
49527696,Aurora,2013-06-04T15:03:22Z
49527708,Aurora,2013-06-04T15:03:36Z
49920243,PLbot,2013-06-09T10:37:30Z
49920245,PLbot,2013-06-09T10:37:31Z
50541720,Baisulis,2013-06-14T12:16:43Z
53811155,114.79.0.3,2013-07-02T06:10:22Z
54000184,89.122.85.176,2013-07-03T03:40:08Z
54019290,Lakokat,2013-07-03T06:51:00Z
54104392,The Anonymouse,2013-07-03T18:34:45Z
54104407,The Anonymouse,2013-07-03T18:34:52Z
54104412,The Anonymouse,2013-07-03T18:34:56Z
54104414,The Anonymouse,2013-07-03T18:34:57Z
54338098,Yoxem,2013-07-05T08:36:57Z
54533735,Narutolovehinata5,2013-07-06T10:46:51Z
54639639,MazinX,2013-07-07T13:18:19Z
54639787,MazinX,2013-07-07T13:19:26Z
54639798,MazinX,2013-07-07T13:19:34Z
56391584,Ashkan P.,2013-07-11T11:24:27Z
57387139,Rezabot,2013-07-13T13:04:43Z
57545249,Ashkan P.,2013-07-14T06:17:40Z
57545531,Ashkan P.,2013-07-14T06:18:32Z
63212615,Lockedo,2013-08-02T15:02:42Z
64168294,217.164.86.8,2013-08-05T06:58:25Z
65528693,202.67.40.2,2013-08-14T02:02:57Z
65551156,Matěj Suchánek,2013-08-14T08:17:00Z
65856544,113.171.113.229,2013-08-15T17:37:50Z
69385728,BetaBot,2013-09-10T04:07:04Z
69396012,BetaBot,2013-09-10T05:06:37Z
69405679,BetaBot,2013-09-10T06:05:45Z
69414454,BetaBot,2013-09-10T07:07:50Z
69497939,Nixón,2013-09-10T15:26:14Z
71091503,91.154.23.131,2013-09-18T12:42:41Z
73885610,Yukari Aoi,2013-10-01T09:13:31Z
79054826,79.181.203.15,2013-10-17T15:41:03Z
79416637,220.129.239.177,2013-10-19T14:13:14Z
79447519,Glaisher,2013-10-19T17:01:52Z
80834552,Dexbot,2013-10-23T05:36:11Z
82937134,184.65.41.220,2013-10-31T13:38:01Z
91677499,Zedin6,2013-12-05T22:11:48Z
92023740,Legobot,2013-12-08T02:43:06Z
92023743,Legobot,2013-12-08T02:43:07Z
93246309,Sasuke88,2013-12-13T15:52:46Z
93261949,Csigabi,2013-12-13T18:57:08Z
97679356,Skilurus,2014-01-01T21:33:57Z
98367049,Hoo Bot,2014-01-04T17:17:16Z
99771415,Breogan2008,2014-01-09T23:23:18Z
99955971,Dexbot,2014-01-10T20:34:47Z
105558510,GPUBot,2014-01-27T17:13:08Z
105558517,GPUBot,2014-01-27T17:13:09Z
106727618,Vesihiisi,2014-01-31T08:38:08Z
108013914,콩가루,2014-02-06T11:40:10Z
109920829,דג בלי מלח,2014-02-16T21:08:51Z
112882996,Dexbot,2014-02-28T23:29:39Z
113461970,Dexbot,2014-03-02T16:40:27Z
114351590,Daveed93,2014-03-06T12:46:15Z
114354042,ZrbtWm,2014-03-06T13:00:42Z
114354066,ZrbtWm,2014-03-06T13:00:54Z
114354126,ZrbtWm,2014-03-06T13:01:23Z
116343142,Krdbot,2014-03-15T12:30:50Z
116343148,Krdbot,2014-03-15T12:30:51Z
116472808,콩가루,2014-03-16T04:39:03Z
116526887,콩가루,2014-03-16T13:49:13Z
116530412,콩가루,2014-03-16T14:14:55Z
117819146,Steenthbot,2014-03-24T20:37:52Z
117819168,Steenthbot,2014-03-24T20:38:02Z
120255723,Don-kun,2014-04-11T19:08:15Z
120255731,Don-kun,2014-04-11T19:08:22Z
120339042,Hromino,2014-04-12T08:12:54Z
126301462,AkkakkBot,2014-05-06T19:58:14Z
127450973,AkkakkBot,2014-05-09T23:15:40Z
132584265,Kareyac,2014-05-23T02:41:19Z
132613263,AkkakkBot,2014-05-23T04:39:52Z
138649864,Hromino,2014-06-18T10:36:40Z
148588923,DoraMoon,2014-07-31T10:56:12Z
148612173,Dk1919 Franking,2014-07-31T13:38:48Z
148638992,DoraMoon,2014-07-31T16:24:00Z
149497999,Dexbot,2014-08-04T15:31:48Z
150319020,Ereyiz,2014-08-10T21:18:17Z
150408276,Ereyiz,2014-08-11T10:35:21Z
156385866,1l2,2014-09-08T21:57:55Z
158271603,Dexbot,2014-09-18T20:01:29Z
158820602,EmausBot,2014-09-20T21:10:48Z
159503749,110.154.156.140,2014-09-24T05:24:44Z
159800940,Danrok,2014-09-26T11:52:25Z
165416053,Liuxinyu970226,2014-10-18T11:17:25Z
174347959,RobotMichiel1972,2014-11-15T16:22:54Z
176950675,Alexandra IDV,2014-11-26T09:55:56Z
177449276,Haplology,2014-11-28T01:28:22Z
185056983,RobotMichiel1972,2014-12-31T14:30:38Z
185364921,178.128.126.218,2015-01-01T17:51:24Z
185364932,178.128.126.218,2015-01-01T17:51:27Z
187070101,Ptjackyll,2015-01-10T19:58:06Z
190101410,Manga31,2015-01-23T11:42:00Z
197520420,Seiya,2015-02-18T12:22:47Z
200427975,Azerifactory,2015-03-01T20:32:38Z
200600702,AkkakkBot,2015-03-02T08:52:46Z
202412789,Aldnonymous,2015-03-08T16:51:35Z
203558393,EmausBot,2015-03-12T10:21:37Z
208607952,Thibaut120094,2015-04-03T14:15:01Z
211086159,Christophe95,2015-04-16T22:43:23Z
211118682,Infovarius,2015-04-17T06:10:18Z
211118686,Infovarius,2015-04-17T06:10:20Z
215225167,Tekstman,2015-05-12T09:12:49Z
225557176,Louhikärmes,2015-07-01T05:34:37Z
240219694,KasparBot,2015-08-12T10:39:46Z
243112543,111.181.49.2,2015-08-17T10:30:41Z
245628449,Avilena,2015-08-26T17:53:05Z
248058658,Dexbot,2015-09-05T16:27:16Z
252877080,LeafGreen,2015-09-20T01:52:17Z
253915752,Bennort,2015-09-27T15:01:08Z
254778551,Bradipo Lento,2015-10-04T14:27:08Z
254876993,Dexbot,2015-10-04T20:00:38Z
262149342,TomT0m,2015-10-24T23:46:55Z
270886907,Edoardo88,2015-11-12T17:57:19Z
270886912,Edoardo88,2015-11-12T17:57:20Z
271102057,Мурад 97,2015-11-13T08:35:56Z
275271283,Thibaut120094,2015-11-19T20:40:25Z
275271286,Thibaut120094,2015-11-19T20:40:26Z
285435707,OskarsC,2015-12-24T01:11:31Z
300998416,Yuri ar,2016-02-05T16:32:27Z
303171645,Pasleim,2016-02-12T13:34:56Z
303171651,Pasleim,2016-02-12T13:34:57Z
303646150,Mbch331,2016-02-14T11:04:48Z
303646156,Mbch331,2016-02-14T11:04:49Z
316254952,AnelBakayeva NIS,2016-03-28T14:45:12Z
340209983,Dexbot,2016-05-25T21:28:30Z
344865811,AmaryllisGardener,2016-06-08T01:45:42Z
344865828,AmaryllisGardener,2016-06-08T01:45:47Z
348375112,DoraMoon,2016-06-17T07:34:30Z
349503091,Edoardo88,2016-06-21T11:33:18Z
349503094,Edoardo88,2016-06-21T11:33:19Z
349542698,Firippu-san,2016-06-21T13:13:40Z
349542712,Firippu-san,2016-06-21T13:13:44Z
349542809,Firippu-san,2016-06-21T13:14:19Z
349542859,Firippu-san,2016-06-21T13:14:36Z
352069208,Raamaturott,2016-06-29T11:35:02Z
353984975,Marcvs42,2016-07-04T01:13:42Z
361147045,Bradipo Lento,2016-08-01T18:53:11Z
365970883,Firippu-san,2016-08-18T10:06:46Z
367412063,BlackHust,2016-08-20T23:43:06Z
367770434,Deerstop,2016-08-21T12:30:05Z
375511909,Vicinis,2016-09-11T20:39:13Z
376614756,Vicinis,2016-09-15T20:45:33Z
383489777,Christian140,2016-10-03T12:09:57Z
383489798,Christian140,2016-10-03T12:10:01Z
386709619,Bradipo Lento,2016-10-11T11:34:18Z
389344954,Leandro Drudo,2016-10-15T23:28:23Z
389661311,Edgars2007,2016-10-16T08:50:06Z
389661325,Edgars2007,2016-10-16T08:50:07Z
390504402,187.134.36.134,2016-10-17T22:05:15Z
390504776,Jared Preston,2016-10-17T22:09:15Z
396497668,Thierry Caro,2016-10-27T00:43:44Z
396497677,Thierry Caro,2016-10-27T00:43:45Z
400959174,KasparBot,2016-11-04T13:03:22Z
400959180,KasparBot,2016-11-04T13:03:23Z
415883919,EmausBot,2016-12-12T14:08:00Z
415885124,Dream Focus,2016-12-12T14:11:52Z
415900946,Anthony Appleyard,2016-12-12T15:11:11Z
425241758,Sdf,2017-01-07T07:19:09Z
425988146,Telaneo,2017-01-09T16:48:03Z
431979906,Lepido,2017-01-17T17:37:20Z
437675083,EranBot,2017-01-28T12:08:26Z
440025844,Pigsonthewing-bot,2017-01-31T12:55:47Z
440025846,Pigsonthewing-bot,2017-01-31T12:55:48Z
444352022,PearlieGirl,2017-02-09T05:00:49Z
446016503,EdgarsBot,2017-02-11T11:26:25Z
446016510,EdgarsBot,2017-02-11T11:26:26Z
452489194,Lockal,2017-02-19T21:04:36Z
462877009,Thierry Caro,2017-03-07T02:50:46Z
462877013,Thierry Caro,2017-03-07T02:50:47Z
471991917,Sakretsu,2017-04-02T14:53:34Z
472294525,Sakretsu,2017-04-04T13:09:01Z
472406365,Murak0,2017-04-05T08:01:04Z
475373367,Tojdor,2017-04-16T05:43:43Z
475373497,Tojdor,2017-04-16T05:44:50Z
475379691,Tojdor,2017-04-16T06:23:23Z
475843718,PuffGuy,2017-04-17T13:07:48Z
486680941,Beko,2017-05-16T09:34:45Z
486680943,Beko,2017-05-16T09:34:46Z
488205482,Pilvede Taga,2017-05-22T11:48:26Z
488575927,Andres,2017-05-23T06:13:50Z
491323843,Asierog,2017-05-28T01:36:19Z
491323847,Asierog,2017-05-28T01:36:20Z
491323874,Asierog,2017-05-28T01:36:28Z
493917459,Shumaila.kausar555,2017-06-03T05:37:56Z
495629563,Boollieva,2017-06-05T13:37:23Z
495850442,Lazar Madalina,2017-06-05T20:01:33Z
498041078,Abandoner,2017-06-09T07:54:50Z
502016535,JersyJacob,2017-06-17T05:46:16Z
506947791,JersyJacob,2017-06-26T04:30:14Z
506949278,JersyJacob,2017-06-26T04:32:50Z
506949288,JersyJacob,2017-06-26T04:32:51Z
508050449,105.142.91.200,2017-06-27T11:51:15Z
508545280,NMaia,2017-06-28T01:33:14Z
508545373,NMaia,2017-06-28T01:33:36Z
515944275,156.212.242.241,2017-07-08T08:11:54Z
516887309,𐰇𐱅𐰚𐰤,2017-07-09T18:35:24Z
518169860,Amitbjadhav,2017-07-12T13:19:00Z
525748380,أنور,2017-07-25T22:11:06Z
525748393,أنور,2017-07-25T22:11:08Z
525748753,أنور,2017-07-25T22:12:00Z
538400395,أنور,2017-08-15T11:24:05Z
542154400,أنور,2017-08-20T14:47:36Z
542154763,أنور,2017-08-20T14:47:59Z
546754626,Wdpp,2017-08-26T16:16:09Z
568460404,Pastelbleu,2017-09-29T01:26:15Z
569841655,Sdf,2017-09-30T13:48:43Z
570160524,Davidzdh,2017-10-01T01:03:54Z
582498483,Lewis Hulbert,2017-10-22T01:09:27Z
584132742,أنور,2017-10-25T22:02:47Z
584132747,أنور,2017-10-25T22:02:48Z
584132754,أنور,2017-10-25T22:02:49Z
611041528,Super ninja2,2017-12-19T21:28:59Z
612723823,Wdpp,2017-12-23T11:28:18Z
619916256,Bradipo Lento,2018-01-13T20:16:15Z
619919473,Bradipo Lento,2018-01-13T20:23:57Z
621356821,White Demon,2018-01-17T18:20:52Z
621408312,Dishual,2018-01-17T22:18:38Z
621526278,Sight Contamination,2018-01-18T16:07:50Z
621526341,Sight Contamination,2018-01-18T16:08:03Z
622508278,154.121.4.143,2018-01-22T07:04:46Z
622510011,YMS,2018-01-22T07:35:11Z
630314748,1-Byte,2018-02-12T13:46:22Z
633293999,Vanished user ABD21F7C43,2018-02-18T17:22:09Z
637823978,Ehtowol,2018-02-24T11:25:33Z
644459360,85.140.0.109,2018-03-06T15:08:45Z
650893997,Mhl20,2018-03-17T01:22:31Z
653542154,Jura1,2018-03-20T15:30:56Z
653542165,Jura1,2018-03-20T15:30:57Z
667375648,Jnylen,2018-04-20T17:46:31Z
670998769,MisterSynergy,2018-04-28T18:20:54Z
674047757,Rotpunkt,2018-05-04T09:50:28Z
674047770,Rotpunkt,2018-05-04T09:50:29Z
676592670,MisterSynergy,2018-05-09T16:35:34Z
680726884,Maxlath,2018-05-17T15:06:43Z
680726900,Maxlath,2018-05-17T15:06:47Z
688293378,Soyomogi,2018-06-01T08:24:38Z
688293533,Soyomogi,2018-06-01T08:24:58Z
703300914,Pintoch,2018-06-27T07:55:06Z
708219342,EmausBot,2018-07-08T21:39:52Z
711493019,MatSuBot,2018-07-16T04:43:57Z
722961137,CennoxX,2018-08-08T15:26:38Z
724241639,CennoxX,2018-08-11T11:06:30Z
728206164,MisstressD,2018-08-17T23:52:24Z
729271452,ValterVBot,2018-08-19T11:47:42Z
729280043,QuickStatementsBot,2018-08-19T12:01:16Z
731513126,Tagishsimon,2018-08-22T13:03:37Z
735787585,Simon Villeneuve,2018-08-28T13:33:22Z
735787599,Simon Villeneuve,2018-08-28T13:33:23Z
743945749,Eru,2018-09-10T17:11:00Z
747283285,Pintoch,2018-09-16T19:28:18Z
748247517,Argo Carpathians,2018-09-18T08:54:45Z
748247539,Argo Carpathians,2018-09-18T08:54:50Z
748247549,Argo Carpathians,2018-09-18T08:54:51Z
752574969,Racsho,2018-09-25T20:55:39Z
752575174,Racsho,2018-09-25T20:56:00Z
753555994,ユック,2018-09-27T06:27:00Z
753556141,ユック,2018-09-27T06:27:23Z
753556253,ユック,2018-09-27T06:27:42Z
754195786,ユック,2018-09-28T14:31:55Z
756612802,ユック,2018-10-03T07:07:32Z
756612827,ユック,2018-10-03T07:07:36Z
756624375,Cavaliere grande,2018-10-03T07:52:30Z
757283976,177.53.14.248,2018-10-04T23:09:03Z
764769146,Spinoziano,2018-10-15T12:01:42Z
775485764,VulcanSphere,2018-10-28T12:38:01Z
792718714,NewWuuWiki,2018-11-18T03:49:11Z
800871551,MatSuBot,2018-11-28T11:19:17Z
809690106,Kam Solusar,2018-12-11T13:10:27Z
809690195,Kam Solusar,2018-12-11T13:10:39Z
812389170,-Zest,2018-12-15T15:31:33Z
815445243,Amihan27,2018-12-19T21:55:23Z
816760887,Zelio007,2018-12-21T18:33:06Z
821224527,Christian140,2018-12-27T14:08:36Z
821224983,Christian140,2018-12-27T14:10:20Z
821225230,Christian140,2018-12-27T14:11:15Z
821225295,Christian140,2018-12-27T14:11:27Z
821628774,Christian140,2018-12-28T08:52:18Z
822118070,192.141.247.38,2018-12-29T10:00:43Z
822118237,192.141.247.38,2018-12-29T10:01:04Z
823227237,Wolverène,2018-12-30T19:21:10Z
824381520,MatSuBot,2018-12-31T23:20:56Z
829572780,Christian140,2019-01-07T16:42:08Z
830454094,Ejmeza,2019-01-08T19:19:46Z
833307895,Meno25,2019-01-13T00:34:44Z
837377711,Xezbeth,2019-01-19T07:28:01Z
859569758,Jayayar,2019-02-17T08:11:29Z
869746022,MatSuBot,2019-02-28T03:58:51Z
884612097,Edoardo88,2019-03-16T10:33:27Z
884612110,Edoardo88,2019-03-16T10:33:28Z
899078559,CennoxX,2019-03-31T19:33:55Z
927768002,Racsho,2019-04-29T10:01:22Z
929645853,JuanToño,2019-05-01T04:01:06Z
929645981,JuanToño,2019-05-01T04:01:19Z
929646086,JuanToño,2019-05-01T04:01:28Z
929646252,JuanToño,2019-05-01T04:01:43Z
929646350,JuanToño,2019-05-01T04:01:52Z
929646449,JuanToño,2019-05-01T04:02:01Z
931252359,Christian140,2019-05-02T17:00:19Z
931675315,Zyksnowy,2019-05-03T03:52:39Z
931675444,Zyksnowy,2019-05-03T03:52:52Z
931675494,Zyksnowy,2019-05-03T03:52:57Z
937196894,ユック,2019-05-09T04:09:49Z
938047462,Петар Петковић,2019-05-10T02:21:59Z
938047475,Петар Петковић,2019-05-10T02:22:00Z
938047487,Петар Петковић,2019-05-10T02:22:01Z
940768082,Tawan Silva Mendes,2019-05-13T04:12:37Z
943230084,Epìdosis,2019-05-16T21:15:17Z
943230142,Epìdosis,2019-05-16T21:15:24Z
943230843,Epìdosis,2019-05-16T21:16:48Z
943231065,Epìdosis,2019-05-16T21:17:15Z
944806355,Aoke1989,2019-05-19T12:38:08Z
944951124,Sakretsu,2019-05-19T17:19:11Z
944951165,Sakretsu,2019-05-19T17:19:14Z
945675833,Sakretsu,2019-05-20T22:08:03Z
945675857,Sakretsu,2019-05-20T22:08:07Z
