rev_id,user,timestamp
681981953,Vycl1994,2018-05-20T10:33:16Z
681982031,Vycl1994,2018-05-20T10:33:28Z
681982238,Vycl1994,2018-05-20T10:33:59Z
681982473,Vycl1994,2018-05-20T10:34:29Z
681982644,Vycl1994,2018-05-20T10:34:49Z
681982981,Vycl1994,2018-05-20T10:35:31Z
681982989,Vycl1994,2018-05-20T10:35:32Z
681983173,Vycl1994,2018-05-20T10:36:00Z
681983451,Vycl1994,2018-05-20T10:36:31Z
681983676,Vycl1994,2018-05-20T10:37:00Z
681983959,Vycl1994,2018-05-20T10:37:37Z
681984035,Vycl1994,2018-05-20T10:37:49Z
684169834,KrBot,2018-05-24T00:06:24Z
684169836,KrBot,2018-05-24T00:06:25Z
722205594,Thierry Caro,2018-08-06T22:44:00Z
722205603,Thierry Caro,2018-08-06T22:44:01Z
723744531,Ghuron,2018-08-10T11:00:35Z
750808265,Ghuron,2018-09-22T20:18:12Z
758826471,Edoderoobot,2018-10-07T08:45:45Z
815003382,SlingWikiBot,2018-12-19T10:09:06Z
815003407,SlingWikiBot,2018-12-19T10:09:08Z
827367223,SlingWikiBot,2019-01-04T17:50:39Z
827367248,SlingWikiBot,2019-01-04T17:50:41Z
846173659,Tinker Bell,2019-01-30T00:17:19Z
858944840,Simon Villeneuve,2019-02-15T20:55:46Z
873435231,Emijrpbot,2019-03-03T16:03:27Z
894121134,Emijrpbot,2019-03-26T18:47:00Z
910411742,XabatuBot,2019-04-11T21:19:22Z
946637368,SlingWikiBot,2019-05-22T10:14:18Z
946637386,SlingWikiBot,2019-05-22T10:14:20Z
954233784,Premeditated,2019-06-02T10:22:41Z
954233802,Premeditated,2019-06-02T10:22:42Z
956002453,EmausBot,2019-06-05T11:00:59Z
964251994,MatSuBot,2019-06-17T22:13:41Z
967037940,Edoderoobot,2019-06-22T18:51:20Z
1008114752,86.247.140.253,2019-09-04T17:49:08Z
1008114761,86.247.140.253,2019-09-04T17:49:09Z
1008115367,86.247.140.253,2019-09-04T17:50:56Z
1041202901,Laddo,2019-10-30T00:39:06Z
1056612474,Bargioni,2019-11-19T22:52:06Z
1057209857,נעם דובב,2019-11-20T16:09:45Z
1066507162,LogainmBot,2019-11-30T20:57:32Z
1103951301,Agungsn,2020-01-25T07:13:20Z
1111411212,MatSuBot,2020-02-07T23:50:24Z
1131166733,Vladimir Alexiev,2020-03-07T13:48:23Z
1131166752,Vladimir Alexiev,2020-03-07T13:48:24Z
1156278881,LogainmBot,2020-04-12T20:54:43Z
1164340825,OsamaK,2020-04-23T07:28:16Z
1164340858,OsamaK,2020-04-23T07:28:18Z
1164340874,OsamaK,2020-04-23T07:28:19Z
1164340901,OsamaK,2020-04-23T07:28:21Z
1164340936,OsamaK,2020-04-23T07:28:23Z
1224848338,OsamaK,2020-07-05T09:51:18Z
1224848356,OsamaK,2020-07-05T09:51:19Z
1239465320,Shev123,2020-07-26T21:26:32Z
1308499147,Liridon,2020-11-18T16:30:35Z
1320862419,BorkedBot,2020-12-10T17:21:14Z
1320862435,BorkedBot,2020-12-10T17:21:17Z
1320862443,BorkedBot,2020-12-10T17:21:20Z
1320862454,BorkedBot,2020-12-10T17:21:24Z
1321800524,Lockal,2020-12-12T14:38:38Z
1333789199,Tom Morris,2021-01-02T19:10:55Z
1334582648,BorkedBot,2021-01-04T07:54:38Z
1341346313,BorkedBot,2021-01-15T03:44:27Z
1347980118,BorkedBot,2021-01-25T08:51:36Z
1375107967,Remitamine,2021-03-04T12:09:13Z
1375107975,Remitamine,2021-03-04T12:09:15Z
1375107977,Remitamine,2021-03-04T12:09:15Z
1375107983,Remitamine,2021-03-04T12:09:16Z
1375107986,Remitamine,2021-03-04T12:09:17Z
1377722123,Quesotiotyo,2021-03-08T05:49:35Z
1386999784,Reinheitsgebot,2021-03-21T13:21:31Z
1406703323,Simon Villeneuve,2021-04-23T00:45:26Z
1425102397,78.39.249.113,2021-05-20T20:40:35Z
1425102414,78.39.249.113,2021-05-20T20:40:38Z
1425102421,78.39.249.113,2021-05-20T20:40:39Z
1425102434,78.39.249.113,2021-05-20T20:40:41Z
1452737828,BorkedBot,2021-07-02T17:41:56Z
1456638018,Edoderoobot,2021-07-09T04:00:05Z
1461643861,Bombino1234,2021-07-17T10:27:01Z
1493478524,Soweego bot,2021-09-06T09:03:36Z
1493478593,Soweego bot,2021-09-06T09:03:46Z
1493478654,Soweego bot,2021-09-06T09:03:56Z
1493478705,Soweego bot,2021-09-06T09:04:06Z
1493478816,Soweego bot,2021-09-06T09:04:16Z
1493478860,Soweego bot,2021-09-06T09:04:26Z
1496460389,BrokenSegue,2021-09-12T05:03:09Z
1496530123,BrokenSegue,2021-09-12T07:27:42Z
1512724890,Euro know,2021-10-16T16:17:09Z
1512725197,Euro know,2021-10-16T16:18:04Z
1512725261,Euro know,2021-10-16T16:18:23Z
1512725335,Euro know,2021-10-16T16:18:35Z
1512725522,Euro know,2021-10-16T16:18:56Z
1512725576,Euro know,2021-10-16T16:19:10Z
1512727236,Euro know,2021-10-16T16:24:57Z
1512727275,Euro know,2021-10-16T16:25:10Z
1513589556,Euro know,2021-10-18T11:29:15Z
1513589655,Euro know,2021-10-18T11:29:23Z
1513590432,Euro know,2021-10-18T11:30:35Z
1513590629,Euro know,2021-10-18T11:30:51Z
1513590792,Euro know,2021-10-18T11:31:05Z
1513591270,Euro know,2021-10-18T11:31:49Z
1584986964,BorkedBot,2022-03-01T05:15:40Z
1584986984,BorkedBot,2022-03-01T05:15:46Z
1589294592,Matlin,2022-03-07T21:25:26Z
1597058529,BorkedBot,2022-03-17T23:40:37Z
1701637911,Cewbot,2022-08-11T12:24:58Z
1717993003,Sporti,2022-08-31T18:58:39Z
1748579499,Renamerr,2022-10-11T22:04:55Z
1776717819,2001:B07:AAC:21F2:68D3:2FCA:676C:3066,2022-11-21T22:26:26Z
1784697499,MatSuBot,2022-12-05T02:16:58Z
1788397759,Josh404Bot,2022-12-12T13:39:48Z
1831225999,BorkedBot,2023-02-10T20:57:55Z
1831226077,BorkedBot,2023-02-10T20:58:01Z
1836083028,BorkedBot,2023-02-18T00:12:12Z
1836083081,BorkedBot,2023-02-18T00:12:18Z
1841147138,MsynBot,2023-02-25T08:44:16Z
1862347103,Cewbot,2023-03-27T06:39:46Z
